TextTweet,Compound Score,Sentiments
uas take home doing class,0.0,Netral
the thesis was finished perfectly tired of processing data,0.3182,Positif
"friends, friends, family, friends, know BUMN, reply, yes, if you want, please fill out the final assignment questionnaire, dm reply, thank you",0.9442,Positif
"Gamis child psychology Know a psychologist who practices bibliotherapy. Please provide info, campus, lecturers concerned with the field",0.3182,Positif
guyss inggris gimana not really sure with my answer thank you,0.0826,Positif
"Guys, I sent the video assignment via email, but because it's too big, I put it in the drive first, but how do I upload a good suggestion, thanks",0.8271,Positif
ask the campus to open an ethics test if please reply urgent,0.4767,Positif
"Guys, I'm asking for a citation using Mendeley if the file already uses the Van Couver format, then re-insert the format again, thank you.",0.3612,Positif
really sad at gin wake up insomnia work lately sender think really mhs level looking at thinking about the topic etc etc already january but haven't got it yet,-0.2952,Negatif
peak gen nyatet matkul snapgram,0.0,Netral
good luck in doing in sender tomorrow in the oral exam subject I'm afraid I've mastered the material but I'm afraid I'll be nervous if I'm told to say that,0.0772,Positif
please ask if the theoretical hypothesis about gin how to follow the hypothesis theory thanks,0.6369,Positif
"Sis, the student of FISIP UI likes anime, manga, is active at Japanese events, ken is full of duties, fieldnotes, huhuhu, please reply, thank you",0.8519,Positif
journal review assignment journal paper gk review tia,0.5106,Positif
"I'm sorry, if the thesis is variable, you understand the variable",-0.0772,Negatif
"guys, if you're interested in buying, you're welcome to stop buying",0.5423,Positif
"Hi, please like and comment on the video. Can you please DM me the exchange link?",0.7269,Positif
allah astagfirullah thesis is so tired of reading a book going back and forth trying to type when I re-read it can't understand what I'm typing I'm tired I swear,-0.7809,Negatif
"sender, press the campus date there is a sender, please entertain yourself, it's funny, please",0.8316,Positif
"random groups make contributions that are really tired like begging if you do it, do a heavy duty tips for dealing with free riders, the real gin is really tired",-0.0792,Negatif
very confused sender hope wrong,-0.3673,Negatif
tired of circle senders feeling sender trying to avoid how tired of being talked to it feels like screaming tired cont,-0.8591,Negatif
"Guys, I'm asking if you pre-scrutinized the questionnaire and spread the variables",0.0,Netral
sorry for the late night if the thesis is variable sis,-0.0772,Negatif
"Examine ANOVA two way or not. Please reply sender, tap dm",-0.2411,Negatif
"the left was written by the editor, when the book was published, I was confused about writing the dapus",-0.3182,Negatif
certainly quantitative indicators of the origin of the theory can figure,0.34,Positif
"Looking for a class action lawsuit in the Indo environment, it's hard to find news that many people refuse to accept, or it's wrong to refuse",-0.7351,Negatif
"in the morning, in the afternoon, part time, in the evening, chasing the deadline for the lab practicum report, aaa I'm tired in the semester, I don't have a rest to sleep, I can cheer you up or not",0.1027,Positif
"sorry, guys, the corelap app, the Google search task is difficult, thanks",0.0258,Positif
"normal, heavy, confused, like, present, hopeful",0.5423,Positif
break give space for my self ken's side misunderstands how really the face is scared tired of asking to chat I respond really tired cont,-0.8832,Negatif
need to enter tired peer group college meet neng really recharge my energy after all my energy class really meet ken take cont,0.144,Positif
Sunday campus is on holiday,0.4019,Positif
Self-taught mandarin language ken friends to teach together,0.4767,Positif
"asked the hypothesis that the results were thorough, the theory said how to understand, help, hehe, thank you",0.6369,Positif
check the turnitin website right at night until before dawn,0.0,Netral
"I asked for a list of news libraries, for example, Kompas detik, etc. How do I quote the author's name, the web name, the dafpus, how very confused",-0.3804,Negatif
hihi thank you for answering,0.3612,Positif
"friends who have done corporate startup internships, if interns are paid, spill salary, sorry for the question, but the insight is that the campus has to do an internship, but from my dom, I get paid pretty well cont",0.8338,Positif
"students help pay for their younger siblings' economics lectures, families are in trouble, just pray for friends so that the thesis session goes smoothly",0.6124,Positif
"gc change the title like sender tomorrow, it's really hard to find references, it's really weak",-0.3369,Negatif
"it's really weak, gesss sender project, task of changing uas org, I've given the title of the lecturer, changed the title, right, the sender has changed the title of the lecturer, it's okay, it looks like the sender has arranged it all right, gesss, right when I saw the comments cont",0.0534,Positif
"hello, please like, retweet, my job is available, please reply, dm, thanks a lot in advance",0.8402,Positif
but the semester stopped focusing thanks,0.3612,Positif
"Suggestions for students to feel like helping the children of the parents are complicated, but the task group is the burden of being a child of the parents, cont",-0.3612,Negatif
"it's okay if you take a break when you're lazy, your body and soul are exhausted",-0.4767,Negatif
"recommendations for lecture tabs, guys, useful, etc",0.4404,Positif
"gaess, make a systematic like gin word, how do you use tabulation, thanks for the help",0.7964,Positif
"for example, if you make a bibliography but the source takes the ppt data package, business documents report on the internship, how do you know if that's the case?",0.0,Netral
"It's too late if you like to read, you have to understand",0.3612,Positif
"showing that plagiarism of citations minimizes the percentage of turnitin, sometimes it's already paraphrased in such a way as to give citations to the results of turnitin, it's still tiring",0.0,Netral
Please help fill out the questionnaire. Need respondents. Criteria for Bank Mandiri mobile banking. Thank you,0.7579,Positif
"Hi, brothers and sisters, do you know what semester you graduated from?",0.0,Netral
help overseas senders ready for boarding children,0.6369,Positif
world campus seminar certificate is indeed included cv,0.0,Netral
hello please like retweet my assignment thanks a lot in advance,0.7717,Positif
You know I've turned on the item's screen clock first thing tomorrow morning,0.0,Netral
my brothers and sisters use it when they go to school when they go to extracurricular activities because they are embarrassed,-0.3612,Negatif
"hello, brothers and sisters majoring in psychology for school internships available dm",0.0,Netral
"it's better to bootcamp digital marketing copywriters, the basics are mending",0.4404,Positif
yay nay campus assignments sender next class campus assignments friends tomorrow,0.7579,Positif
express your gratitude to your friends in college or are you afraid it will spread,0.7506,Positif
guys polite permission,0.0,Netral
write cv better use indonesian english,0.4404,Positif
"girl interviewing interns with multinational businesses calling interviewers, sis, after stalking the interviewer linkedin, the age is different, you're really young, how are you doing?",0.0,Netral
"Recommendations for basic college shirts but can be casual outer guys, guys",0.296,Positif
ahead of uas afraid of gin,0.0,Netral
ges review more or less the journal gaa please cloud but the contents of the journal are correct,0.1655,Positif
"broken heart, don't switch from being sad to being active, it's beneficial if now thesis is better off taking a thank you language course",0.8402,Positif
"first, guys, you don't need to be confused about eating xixixixi, geprek chicken, burjo, old date noodles, you suck hehe",-0.6369,Negatif
if aamiin until people pray kobul please aamiin the sender doesn't have a practicum tomorrow watching it brother and sister give you a gada help take care of the consumption of sufferinganakkos,0.8591,Positif
The sender of the linked in account understands that this student contains the sender's search plan,0.0,Netral
"Otw, the semester is not worth apprenticing for independence. Last semester, it didn't crash, but nature was a little bit forced to add another semester, not my parents",-0.5084,Negatif
"definition of the concept, do you have a footnote or not?",0.0,Netral
the story is that denial is aware that the organizational environment is toxic,0.0,Netral
"If the results are turnitin, then you dare to register for Sempro",0.0,Netral
"Allah pray for the sender, tomorrow, Monday, the sender is offline, everyone, I hope you get good results, you are satisfied, you are enthusiastic, okay?",0.926,Positif
cv is natural but passed the internship but I'm not sure if I'll try to register but I'm pessimistic,-0.605,Negatif
let it really gin how thanks,0.4877,Positif
"sender teaches german, already teaches german",0.0,Netral
"hi guys, you see, when you open the word file, it looks like gin, after I reinstalled the laptop app, the error opens, you know what to do with it, reply ll hit thru dm, thankyou lt",-0.0516,Negatif
"if it's safe, thanks hehe",0.7003,Positif
hopeless seeing the student's point of view is confused or not,-0.6486,Negatif
"looking for a gallon, got it, akwowkw",0.0,Netral
Guys sender guide revision tomorrow sender can sender ghosting it's okay wkwk Friday sender collect it,0.2263,Positif
do the cape,0.0,Netral
"I have smst but my group is doing the assignment, I still copy it, so if I can't do anything, it's true, copy and paste the contents, but the chapters are different, I've explained what I mean, I'm looking for points, but I still don't understand, I'm already eneged too cont",0.5719,Positif
"Hello, Unair students are asked to please download this, tia",0.6808,Positif
"Come on, mention the difficult subject in your exam",-0.3612,Negatif
"Guys, I'm ready to explain the phenomenon that the thesis won't connect to the connection tomorrow, sempro huhuu",0.3612,Positif
"Come on, let's do the thesis together via online, set a schedule for working on it together so that the thesis doesn't sit still",0.0,Netral
if the script spacing gin bear really,0.0,Netral
I'm already at the confused stage thinking about gifts for my sempro friends but haven't really asked for no salty,-0.4206,Negatif
"guys, playing on linkedin bro tbtb inbox with hrd offering a position like that ethics of replying to messages how to refuse to accept it tia",0.7906,Positif
"give me the idea to make a good bureaucratic structure to organize the organizational public relations bureaucracy, I'm confused about how to shape it so it's easy to see",0.5829,Positif
"brother, tbd, looking for an application journal, let's donate where, thank you",0.3612,Positif
semester no catheter no business thesis accepts graduating students,0.2472,Positif
"guys, the task is to make essays, confused topics, thank you",0.0516,Positif
deadline laptop ghost invites to work together,-0.3182,Negatif
let the app help you summarize the book,0.4019,Positif
"really sleepy, it's better to go to sleep, wake up at the hour to do the task, it's better to do it",0.7239,Positif
"spilll so that I'm sleepy when the task is in the middle of fighting this deadline, drink coffee and snack okay",-0.1531,Negatif
"It's not okay tomorrow morning, the general thesis will be deleted, I'm really tired of the chapter for making the night",-0.5939,Negatif
"I'm tired of waking up afraid to face the rush of getting a dospem gin, oh my gosh, I hope that the week of the proposal will be diacc dospem",0.0,Netral
"Colle residents according to the qualifications, please dm the rep, thanks",0.6369,Positif
"Guys, do you understand that the thesis is different from the dospem, how about an example like you feel that you are using a suitable method, I've read the references, etc. but the dospem says the reference method is still following",0.1901,Positif
"bring the motorcycle to the campus, drive to the gymnasium campus",0.0,Netral
"The footnote is correct, btw, don't give guidance from the faculty of hanging dospem",0.0,Netral
world is very sad base campus isi bundr,-0.5256,Negatif
"I'm proud of being old to get a position that's already great, I've been through it, please hold on a little, beautiful rainbow, the end of the fight, keep spirit, believe in you and you deserve all the love in the cont",0.9469,Positif
"what's the weight, please hold on, you know, college is hard, calm and everything will be fine, remember to fight for the dream campus, remember how to be happy cont",0.7964,Positif
the laptop has fallen off the corner of the black screen or not if the service is finished how much,-0.3612,Negatif
"guys, if Iisma is in the semester, you can't see the minimum semester, so register for two internships, do you get a semester campus, sorry sender maba",-0.0772,Negatif
"Guys, psychology kids know anxiety grand theory, you know if you're stressed, use Lazarus, if you use anxiety, thank you guys",0.1779,Positif
barter like youtube video task like back dm ready sis,0.7579,Positif
coy I swear I'm in a hurry I'm done with this smstr I'm really fed up pls just wait until I go to sleep I swear,0.0422,Positif
it needs to be clear btw if you break the rules let me know thank you,0.6249,Positif
"Yesterday, I confided that I missed my mother, now I have confided that I miss my mother, I will meet you because the world is already different in the semester, you really need a friend to listen to your complaints, sometimes it makes you down",-0.2585,Negatif
international journal review writing points,0.0,Netral
After working on the background for graduation sis,0.0,Netral
"tips for filling out the questionnaire, guys, do it",0.0,Netral
"Bismillah for a moment my child prints prayer for friends that the trial will go smoothly, I hope you can get an easy degree",0.836,Positif
laptops like errors need fast,0.0258,Positif
"public health children, especially lifts, connect linkedin, don't reply dm",0.0,Netral
it's better to do an internship at the BUMN command office,0.4404,Positif
"Please fill in my psychological questionnaire, the criteria are adults, tap dm, thank you",0.5859,Positif
write a bibliography of the journal really how guys,0.0,Netral
sender mbkm semester btw,0.0,Netral
"listen to myths, horror myths, you know, the basis for myths, myths, for example, sitting on a pillow boils, the pillow to sleep on is dirty",-0.765,Negatif
Linguistic expert literature students help me feel really confused,0.0276,Positif
"Friends, please help fill out the questionnaire, let's give it a prize, thank you",0.9169,Positif
college guy min sem fresh grad max faculty univ gt gt please fill in my survey reward rb,0.8885,Positif
"thank God after the trial it was really easy, God was sad, the house seemed proud",0.847,Positif
"if my leader to entertain employees who have strange ideas, entertain, entertain my lecturer, if entertaining, include sentences",0.802,Positif
"Guys, so that the journal has been downloaded automatically, it immediately fixes the sender, you enter it manually",0.0,Netral
Examine the sender of the sample secondary data population. How about the test? The sender is confused,-0.3182,Negatif
there is a holiday,0.4019,Positif
"guys, how do you tell the neighbors at the boarding house it's really noisy, the friends don't like sleeping, they disturb the clock, it's really noisy",-0.5318,Negatif
warga colle let connect on linkedin yuk sender linkedin lupa open dm,0.0,Netral
Dr. Turs Ambil Ilkom Kunnyananya,0.0,Netral
write a bibliography of a book using that style to state the city of publication,0.0,Netral
"I had the intention to take a break from my thesis, but I was told to do my assignments, after Christmas, I was told to be sincere, but it was a day off",0.5499,Positif
"If you're a court friend, it's better to gift a bouquet of flowers, something like a make-up dress, the budget is great",0.9393,Positif
linkedin student trs achievement organization content linkedin tia,0.5106,Positif
"hello, the questionnaire needs respondents, maybe help rep, give the link, yes, no, the main criteria, sincerely help, thank you",0.9136,Positif
"The ambition of high school freshmen is now to change the way of sharing, try",0.4215,Positif
plishelp,0.0,Netral
"hi, tomorrow for the first time, please help me submit the results of my chapter, do it, please guide me, even though my dopim is young, I know you, friendly, thank you",0.9001,Positif
thesis take the financial report data if the business sample criteria is issuing the financial report then the IPO business year is automatically the financial year the business sample criteria is not cont,0.0,Netral
stress has pls send me your meme,-0.3612,Negatif
find happiness in studying how do you like being consistent in teaching how to make your study results satisfied if you want to share pls sender is tired of feeling stupid hehe btw the enthusiasm is satisfied,0.891,Positif
brother sister sender maba have huge interest in my current major sender powerful wkwkwk ik every major has it's own difficulty so assume the problem is in myself sad can't absorb material can't understand and can cont,-0.022,Negatif
please feel free to drink coffee pls help respondents to my research questionnaire please reply dm link to the questionnaire thank you very much fesss sorry capslock not guys,0.8965,Positif
help me to like the post plg uas i like it a lot thank you,0.8481,Positif
"Guys, I'm asking when I'm doing a Photoshop task, but when I choose the font, I can change the font, notif PS has stopped working, so I can't change the font style, you know",-0.3291,Negatif
how your day gais uas semangat,0.0,Netral
"I'm sorry because I thought hehe if the fifo method is not available, how can I continue to provide cr google pics?",-0.0772,Negatif
"please help answer, guys, I'm really confused hhu no salty tia",-0.4135,Negatif
guys spread mama twitter questionnaire,0.0,Netral
"Sis, maybe you understand the writing grammar, it's really dirty. Oh, the requirements for writing point paragraphs are dirty, so that they meet the full criteria for paragraphs, thank you",-0.5563,Negatif
pdf book psychology teaching muhibin syah if dm,0.0,Netral
fill in the rep link raffle questionnaire,0.0,Netral
"guys, the laptop keyboard can't press the letters on their own again, why are you experiencing this, what's the solution, using the on-screen keyboard, pls help, I've restarted but the letters",0.3919,Positif
"Pus UI is open, if yes, please register, thanks already",0.7845,Positif
"do the math test, then don't know the answer, the brain is stuck",-0.25,Negatif
Tanya Mog Denotise Thanak in Advance,0.0,Netral
Spill is a special feature of the campus,0.4019,Positif
make ii bus make ii when asking friends to know tomorrow really thanks,0.7425,Positif
"If online classes improve skills for free, gt, where can I get a certificate, thanks",0.8442,Positif
"Friends of the Merdeka Campus program, independent studies only in the field of technology",0.4767,Positif
"I'm so sorry for the limit proposal, I'm so sorry, I don't know, I don't know",-0.3257,Negatif
how to work on pursuing thesis deadlines when the mind is shaken,-0.0772,Negatif
help find data on lettuce production bps look for the bps journal it's gone,0.4019,Positif
really dizzy thorough methodology ya alllahhhh understand the statistics huhuuu semester if amit gets bad grades it's okay to repeat huhu ya allah overthinking,-0.5849,Negatif
"Do you know the indicators for optimization theory related to managing websites, commands like that in theory, haven't found the optimization theory, relate, thanks friends",0.8367,Positif
so gin tertolaqq opre ukm staff,0.0,Netral
"help, don't feel like it's over",0.1506,Positif
note accompany sender guiding finished taking care of yudisium book smells good shop clean book is full of rot behind note silent witness sender who is on his way to finish cont,0.8316,Positif
semester,0.0,Netral
please help fill in the criteria questionnaire for bank Mandiri banking,0.6124,Positif
sender uas makes a report on industrial visits like that but is confused about how to make a visit to cook making a cake about traveling like that like a student visiting a funny business,0.8462,Positif
jeong hoon influencer sender knows that the lecturer has exemplified it,0.0,Netral
"guys for uas purpose introduce sender influencer Indonesian artist living abroad attending college, mother Corla Gracious, etc. from the country, living in Indonesia, rich Haruka jkt lee cont",0.802,Positif
"guys, ask the lecturer for the title of the thesis",0.0,Netral
tell the progress of the first sender thesis in the morning until gin to get a paragraph,0.4215,Positif
"Suggestions for smooth negotiating lg projects in very large class, humans, humans are crazy, forbidding the project to go down, sender reminds jobdesk, snappy",-0.6486,Negatif
"Actually, a brief summary of the different children of literature, please help, thank you",0.7579,Positif
"I'm really confused about publishing journals, meeting publishers, quota info, guys, publishers, at least, sinta in the healthy field, the quota for publishing papa lonya month",0.0276,Positif
"guys, if you like to eat fruit vegetables, children like to eat vegetables, huhu, recommend fruit for children, koss",0.7579,Positif
I'm sure it will still fit,0.5859,Positif
standard though,0.0,Netral
"be patient, it's already a year old, hmm",0.0,Netral
"confide in the sender, the sender's position, the representative of the division, the members don't want to do work projects, a chat group appears, the group also responds to the sender, reprimands like that, the head of the division is allowed to ask cont",0.3134,Positif
teman forest study buddy,0.0,Netral
"gais, check turnitin and already exclude bibliography but how to detect errors",-0.5499,Negatif
guys saran huhuhhu thank you,0.3612,Positif
"If you don't do an internship, you still have a chance",0.25,Positif
"the sender has lost his enthusiasm for college, the deadline for the assignment is close, but he's lazy, the sender needs motivation, help friends",0.8338,Positif
know the classification of the vegetation index build using envi,0.0,Netral
"ask, is it true that the area of ​​the city of Jakarta is the area of ​​the city of Jakarta",0.4215,Positif
"Sis, presenting the results of the journal review, you will include a short ppt, and you will include the results of the review, when you present it, you will mention the points",0.0,Netral
"the way of life for a harmonious family is really hard, friends working on the complete undergraduate thesis, thank God, the sender is really jealous",0.7178,Positif
english title thesis translate google translate web sender use google translate then tell the lecturer to revise not to use sender translate's suggestion,0.0,Netral
the story of money krg says the child doesn't know thank you,-0.2755,Negatif
"I eat gas, eat snacks, etc., go to college, Semarang, a little bit, thank God, but I like being sad, my parents are like that, never ask me to eat, don't cont",0.5234,Positif
"ohhh gin circle circle world of college, yeah, the acting is good, friend, it's really stiff, try to tell me about the nature of circle circle, have a good night's entertainment",0.9186,Positif
"the uas ut uses quizizz matkul it's hard but it's already gt uas likes to use quiziz, it's working on focus for watching and thinking",0.7311,Positif
"Guys, do you understand Manova, dm me, I'm confused about my friend's debate, I don't know if it's true",0.128,Positif
"guys, tips, prepare to leave the semester break room so it smells musty, thank you",0.3182,Positif
"guys, make a reading journal a little more and more",0.0,Netral
"If you meet the criteria, please reply, thank you",0.5859,Positif
"confused, choose to participate, at least choose",-0.3182,Negatif
"Guys, I'm having it like that, when I turn off the laptop, it's like, it doesn't write, but when I turn it on, it writes like it's failed to log in, so when I open it, there's no empty data samsek hueee",0.2933,Positif
exercise drink coffee drink chamomile but can't,0.0,Netral
"sii sleeping pills that are sold freely at the insom pharmacy, it's reached the stage where I can't feel sleepy at night, I have to force myself to sleep at no hours because I'm working on a deadline, I think you know, I've tried cont",0.2732,Positif
"Examine the interpretation using Stuart Hall's theory, does it use a lot of qualitative approaches?",0.0,Netral
"prepared to leave the sender's boarding house, I'm confused, please prepare the sender's room safely, stay safe",0.7783,Positif
"anyway, if you test the validity of the valid points, it's reliable, when you test the points, it's valid, when you test the reliability, it's reliable",0.0,Netral
create an independent campus account using a personal campus email anyway,0.2732,Positif
accounting student ui class please thank you if rep,0.5859,Positif
the normality test is already fixed normally when using asyym tiled then changing monte carlo doesn't work,0.0,Netral
kk not cool,0.1376,Positif
"Previously, the resin was really tired",-0.4927,Negatif
confide in the task of the proposal deadline tomorrow my bomb is resin because of practice before the proposal is tired thinking that the workforce now intends to take a break but group friends don't have resin proposal cont,0.2732,Positif
journal review assignment journal paper gk review tia,0.5106,Positif
press ipekamu semester semester,0.0,Netral
I haven't passed the moves but I'm good at the moves I'm afraid,0.5927,Positif
laptop sender gin yaa,0.0,Netral
"Brother, I want to ask about downloading SPSS, I'm really confused, my friend, the download error asked because it's PJ MK",-0.1354,Negatif
"My friend, when I was in Sempro, had a different theory and a thorough answer. What do you think about the answer? Because the theory is thorough, so it's an ovt.",0.4939,Positif
case like gin to be honest my friend but also close,0.6124,Positif
hate now its okay but if you bring it it's already huft,-0.2263,Negatif
happiness test take home then answer the internet,0.5574,Positif
"please notice sender, thank you in advance",0.5859,Positif
"Jogja's children asked if shopping in the month where it was cheap, so Mirota, the Murce Campus, reached out to the children of the boarding house",0.1027,Positif
"Maba, I want to make an independent campus account, it's difficult",-0.296,Negatif
"Brothers and sisters, thank you for trying LDP, postgraduate senders want to try LPDP, you know who it is",0.4215,Positif
"guys, the name of a friend wrote the thesis or not",0.4939,Positif
"if you bring a laptop, the laptop toilet leaves the sender carrying a bag",0.0,Netral
"infooo for UNAIR environmental engineering semester, maaciiiw",0.0,Netral
"I asked how to download SPSS, following YouTube, I was told to click setup, but when I clicked on gin",0.0,Netral
"Makassar city college, please fill in the MT scale dm",0.3182,Positif
"choose crowdfunding, digital bank, digital wallet, choose crowdfunding, when you click, how does crowdfunding appear?",0.0,Netral
"you know, set the google form, if you ask the wrong question, choose ask, when you click it appears, select select, for example, like gin, type fintech cont",-0.1531,Negatif
"gdocs blue lines, check grammarly, it's clear",0.3818,Positif
"use this boarding house review, please",0.3182,Positif
books really need for thesis reference like rep dm thanks in advance,0.6597,Positif
"root, how to calculate it, already using a calculator, different results, always helpppo",0.0,Netral
how to focus sitting on the laptop typing thesis,0.0,Netral
"gaiseuuu, if the journal is already published, sinta gets it, if yes, where do you see, thanks",0.6808,Positif
"Guys, if you find a chapter thesis file, just look at the name and write the title",0.0,Netral
test the odp it fast track test thank you,0.3612,Positif
"good luck, the city article is translucent, thanks for the confusion",0.765,Positif
"drop basic statistics book, don't do hypothesis testing, I don't understand",-0.2732,Negatif
Are you still strong?,0.5106,Positif
good luck,0.7096,Positif
good evening faeces do you like hanging out in coffee shops like drinking coffee please help fill out the questionnaire carefully responders are available to reply tap dm thank you very much cont,0.9313,Positif
"hello, collect the toeic if the class sheet too, thank you",0.3612,Positif
The official website for registering businesses provides psychological counseling services for employees using the wrong journal data if,-0.4767,Negatif
ajar,0.0,Netral
"already having a thin wallet, my head is dizzy because of the tendency to spray too hahaha",0.4019,Positif
"hewo guys, ready to fill out my questionnaire, I need respondents for a week, the criteria are free, but there are no criteria, thank you, collegeees, drop the link below",-0.6387,Negatif
list of trial thesis threads,0.0,Netral
"test the validity of the open questionnaire, how about it, thankyouuu",0.0,Netral
"Friends, my thesis help fill out a real questionnaire, I will send the link, thank you",0.8074,Positif
It's just a proposal but the sender already has it really hard to go to college because of assignments,-0.2592,Negatif
what a story,0.0,Netral
"Guys, if you're looking for a laptop, choose SSD HDD, and before that, thanks",0.4404,Positif
didn't come home during the semester break,0.0,Netral
Connect Linkedin You Dham Ya Mucus Banyak,0.0,Netral
"Guys, help fill out the questionnaire for women of age, use the Instagram link, share, reply, thank you",0.7506,Positif
I'm sorry but I'm really sad,-0.6946,Negatif
"hehee, I'm sad to read the generalization of the sender campus student, now the image is ugly, stupid student, then laughing at the rep column doesn't join in attacking behavior, the impact is that the sender has passed and he's afraid to affect him when he's looking for it haha ​​cont",-0.4603,Negatif
about the independent campus program,0.0,Netral
guys really do the job,0.0,Netral
"Hello sis, can you do a thorough research on the thesis umbrella on the part of the apprenticeship, bro, I'm worried, as long as I'm concentrating, I need advice, sis, thank you",0.0772,Positif
information on brother's chemistry contest,0.0,Netral
ken took a break overthinking and thesis assignments piled up tired,-0.4404,Negatif
"the sender is really confused, the sender's dospem is gone, then the chat has arrived at the campus, thanks guys",0.079,Positif
"Have a productive holiday, plan to do it pls need recommendations",0.4588,Positif
Graduation friends give a bucket type buy buy donuts,0.4767,Positif
"Guys, suggestions for giving gifts, lecturers guiding ethical thesis, give it like that",0.802,Positif
ppt sempromu child clay engineering format ajaa huhu tiaa,0.0,Netral
"did you join the independent program, friends, general email test yesterday, thank you",0.7783,Positif
"What's up with you guys, I'm not feeling well like I'm shaking",-0.6116,Negatif
"what is the task of enacting the law of struggle so that left and right is what to do if the ruler can't be tabbed, it's messy, dizzy",-0.6908,Negatif
"Graduated College Compulsory Professional Judgment Year Professional Exit Exam Requirements alias Competent Ukom Judiciary Profession in the field of making St. I hope students are healthy and strong, aamiin",0.8807,Positif
"Guys, you are good at excel, you need guidance",0.7096,Positif
"work in inviting presenters and suggestions for good material, it's boring to be a guest material while attending the event, material about likes is like that",0.802,Positif
help confused,0.1027,Positif
"guys, the thesis data regression model already has data, if that's the case, test the classic assumptions cont",0.0,Netral
"teen college please fill out a thorough questionnaire final assignment criteria for the orange application, just drop the link in Surabaya, thank you",0.4019,Positif
father forgot thanks guys,0.4404,Positif
"it's polite if you remind the dospem, forget to guide tomorrow afternoon what time do you guys have to offend if you remind the dospem like to forget that the guide has arrived cont",-0.3612,Negatif
raise the voice of our spirit,0.1779,Positif
Sometimes I think that my mom misses me calling when I call my father when I take care of my house when I'm really hufftt after hectic college I call my parents afraid I'm afraid I'll disturb,-0.1027,Negatif
"When I'm tired of taking care of my thesis, it's really cool when I ask what to do",0.4391,Positif
besok sender uas bahasa arab amp sansekerta hehehehehehehehehehe tolong doa sender hehehehehehe makasih hehehehehehehe besok uas moga sukses yak aamiin hehehehehe hehehehehe,-0.5106,Negatif
good socialization of adolescent psychology,0.4404,Positif
ask at the boarding house,0.0,Netral
"a sad person overseas like a friend is really close to a friend but like a stranger from the circle, if you play you also ask again, but if you need about assignments, you understand college, but if you play cont",0.9072,Positif
"Quantitative friends, at least make a questionnaire for how many indicators are based, thank you",0.6808,Positif
refuse to copy essays how to ask to be polite but also don't want to give it like that reflection essays are different,0.3219,Positif
"Guys, please do a thorough research using qualitative street vendor informants around the house to know the phenomenon, maybe that's the idea, thanks",0.6369,Positif
students prefer to teach switch careers,0.0,Netral
"It tends to be a team, if the sender is a small team, it tends to worry when working on deadlines",-0.4404,Negatif
"info sender tutoring online tutoring application adds good skills, please look like etc. thanks",0.8625,Positif
please feel free to drink coffee pls help respondents to my research questionnaire please reply dm link to the questionnaire thank you very much fesss sorry capslock not guys,0.8965,Positif
"I don't go home during the semester break, Sempro sender UB knows that the alumni of UB FPIC understand",0.0,Netral
minutes need people anyway,0.0,Netral
thesis using the enumerator spill how to invite him to bargain to use the enumerator a classmate's younger sibling gives an envelope filled with lunch for dr. distance cont,0.34,Positif
info toefl online tia,0.5106,Positif
understand qgis know vector functions,0.0,Netral
economics student esp accounting uses lepi worth,0.2263,Positif
"good evening, friend, please like the video comment outside, I like it, dm the link, thanks",0.936,Positif
"the first time I emailed, thank you",0.3612,Positif
"if you don't know how to answer, it's better if you make up the content and leave it blank, if it's bad, how about being honest, sender ovt uas",0.3612,Positif
"seriously asking the journal to get scr downloader, it's Mendley's quote",-0.1779,Negatif
late semester competition,0.0,Netral
students of the midwifery profession teach courses in space management such as nursing management,0.0,Netral
at night colle residents asked to make a brief review of the book review book ummah peaceful mobilization movement of indonesian islamists malaysia turkey gaa tia,0.7579,Positif
website check plagiarism turnitin journal pnya tia,0.5106,Positif
"know how to send a broadcast message, save the sending number, bc the organization's agenda is sent",0.5423,Positif
after being lazy to revise,-0.3612,Negatif
"if you know what to do, thank you",0.3612,Positif
"If you are done, change group assignments",0.0,Netral
if you teach hours then give a minute break,0.0,Netral
"guys, sorry for asking, so that the numbers, how to count, ask for a test, thanks",0.3818,Positif
not sender more more,0.0,Netral
compact & class togetherness,0.0,Netral
"How do you invite friends to co-op together to give a surprise gift, one of the friends who will graduate tomorrow, the group is silent, it's okay to be scared, pretend to be cool, in the context of the semester until it's cont",0.8934,Positif
social psychology master's student later tap dm,0.0,Netral
wrong tree,-0.4767,Negatif
"I'm really tired, the group of friends is really close, the task is to take turns, I've taken the initiative to work on it, it's still empty, but it's appropriate, I also want to order a logo, but I change all the details",0.0009,Positif
"dom jabodetabek likes freelance games, students",0.6124,Positif
if it's rainy season in the classroom hallway,-0.0772,Negatif
The midwife asked the askeb to copy it or not,0.0,Netral
"pray for doing the task so that the focus is set smoothly, quickly finished, from earlier to the end",0.3182,Positif
"At night, colle residents help like comments on the ig poster. Sender's job is not bartering, how come it's rep, thanks",0.7964,Positif
"Sis, here's an independent study campus, an independent batch, a sample report, bro, I'm confused about the sample content, tia lt",0.25,Positif
profile photo wa do you like my paper professor sad sad like that so that the acc revision is sob,-0.4939,Negatif
"Brothers and sisters, you know the thesis theory of maximum theory, actually using Marvelyn's theory, it's considered a theory",0.0,Netral
uyeye pulkam after holiday dizzy thinking about thesis sob,-0.0516,Negatif
"Guys, do you collect data on member IPs, do you want to fill in the data?",0.0772,Positif
